start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2014,2,19,9,2014,2,28,8,229.5,5.65,40.61,3.04,0.091,1.302,0.119,5.525,0.203,1.689,0.48,0.035,67,131.1,4,144.2,40.9
2014,3,10,9,2014,3,19,8,228.97,4.36,52.49,4.08,0.066,0.496,0.243,10.601,0.193,2.087,0.53,0.045,111.4,,2.4,114.3,48.5
2014,3,19,9,2014,3,28,8,192.77,4.36,44.19,1.66,0.02,0.529,0.144,6.985,0.145,1.486,0.434,0.039,93.1,,3.3,205.4,75.7
2014,3,28,9,2014,4,6,8,184.97,4.36,42.4,1.41,0.024,0.224,0.085,7.367,0.133,1.558,0.443,0.037,69.6,,2.3,124.8,40.4
2014,4,15,9,2014,4,24,8,151.43,4.51,33.58,1.49,0.027,0.464,0.235,3.923,0.201,0.951,0.434,0.034,44.1,,2,111.7,33.9
2014,4,24,9,2014,5,3,8,200.53,4.39,45.66,1.5,0.02,0.779,1.474,6.447,0.308,1.613,0.629,0.06,4.5,,,0.1,5.7
2014,5,6,9,2014,5,15,8,214.87,5.36,40.06,1.49,,0.373,,7.154,0.135,2.413,0.351,0.013,70.7,85.7,2.6,89.3,50.4
2014,6,11,9,2014,6,20,8,206.13,5.47,37.67,1.5,,0.374,0.129,7.458,0.172,3.178,0.472,0.021,74.6,98.5,3,167.9,66.8
2014,6,20,9,2014,6,29,8,211,5.44,38.82,1.51,,0.445,0.113,6.768,0.17,2.607,0.569,0.023,66.2,96.5,2.9,88.5,46
2014,6,29,9,2014,7,8,8,177.3,5.36,33.05,3.57,,0.375,0.144,4.293,0.245,1.387,0.632,0.037,51.8,58.6,1.9,91.8,23.7
2014,7,19,9,2014,7,20,8,192.5,5.33,36.13,0.82,,0.643,0.356,4.751,0.156,1.322,0.486,0.031,87.1,102.9,3.6,96.7,25.4
2014,7,20,9,2014,7,21,8,200.1,5.54,36.09,0.81,,0.464,,5.759,0.1,1.584,0.464,0.023,37.5,47.7,2.3,58.7,38.2
2014,7,21,9,2014,7,22,8,193.8,5.76,33.65,0.79,,0.284,0.213,4.371,0.127,1.264,0.397,0.022,60.9,92.4,2.7,104.6,25.1
2014,8,14,9,2014,8,15,8,196.17,5.52,35.57,3.13,,0.199,0.06,5.308,0.229,1.404,0.518,0.037,35.1,,2.2,28.1,13.4
2014,8,28,9,2014,8,29,8,209.47,5.83,35.92,3.3,,0.146,0.348,5.877,0.222,3.019,0.806,0.024,26.8,71.8,2.9,45.6,24
2014,9,5,9,2014,9,14,8,191.83,4.18,45.94,4.47,0.025,0.227,0.056,6.889,0.354,3.426,1.274,0.048,149.7,54.7,6.2,85.9,33.7
2014,10,11,9,2014,10,20,8,187.93,4.97,37.83,3.92,,0.332,0.03,6.449,0.39,3.121,1.116,0.047,530.2,18.8,4,98.9,45.1
2015,4,13,9,2015,4,22,8,182.87,5.15,35.52,1.27,,0.345,0.112,6.78,0.136,2.405,0.726,0.026,64.3,141.2,2.8,138.2,29.8
2015,5,21,9,2015,5,30,8,217.53,4.9,44.37,1.37,,0.241,,7.504,0.191,0.659,0.652,0.027,98.5,179.4,4.1,137.2,36.3
