start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2014,1,10,9,2014,1,19,8,51.7,4.41,11.73,0.43,0,0.222,0.094,1.413,0.084,0.491,0.114,0.019,32.9,106,0.9,28,4.7
2014,1,20,9,2014,1,29,8,142.57,4.71,30.26,3.1,0,0.3,0.121,7.27,0.307,1.613,0.35,0.046,30.6,99.3,2.6,155.6,71.8
2014,1,29,9,2014,2,7,8,143.6,5.4,26.59,0.81,0.052,0.778,0.139,6.462,0.214,1.662,0.302,0.033,31.2,90.5,2.5,136.5,63.1
2014,4,6,9,2014,4,15,8,135.4,4.33,31.25,3.48,0,0.22,0.106,3.773,0.15,0.826,0.341,0.035,60.5,,1.9,92.8,27.6
2014,5,15,9,2014,5,24,8,162.4,5.26,30.9,1.59,0,0.27,0.257,5.15,0.151,1.664,0.359,0,40.9,90.4,1.9,112.8,38.9
2014,5,24,9,2014,5,30,8,159.6,5.36,29.75,1.03,0,0.138,0.073,3.491,0.138,0.937,,0.015,61.1,87.1,2.5,104.8,32.3
2014,7,18,9,2014,7,19,8,148.3,5.4,27.46,0.91,0,0.327,0.152,3.533,0.138,0.922,0.351,0.02,84,116.1,3.4,129.7,30
2014,7,22,9,2014,7,23,8,143.07,5.76,24.84,2.68,0,0.179,0,4.335,0.119,1.07,0.298,0.019,48.4,567.4,1.9,107.3,28.9
2014,7,23,9,2014,7,24,8,128.4,5.47,23.46,0.76,0,0.357,0.151,3.091,0.099,,0.262,0.016,36.8,237.4,1.7,58.3,20.6
2014,7,24,9,2014,7,25,8,179.33,5.59,32.1,0.66,0,0.485,0.117,4.767,0.095,1.409,0.395,0.02,55.5,71.1,2.1,31,9.3
2014,8,6,9,2014,8,7,8,142.1,5.18,27.41,1.16,0.022,0.362,0.412,1.931,0.244,0.547,0.395,0.026,16.4,18.5,1.4,29.5,19.9
2014,8,7,9,2014,8,8,8,152.3,5.47,27.83,2.94,0,0.249,0,3.847,0.245,1.045,0.411,0.032,33.2,205.9,1.8,68.1,26.8
2014,8,8,9,2014,8,9,8,166.73,5.26,31.72,3.16,0,0.296,0,4.751,0.238,1.39,0.5,0.035,31,154.3,2.1,111.4,26.6
2014,8,9,9,2014,8,10,8,146.57,5.3,27.66,3.13,0,0.191,0.488,3.707,0.221,1.091,0.449,0.024,64.4,146.3,2.1,64.9,24.8
2014,8,10,9,2014,8,11,8,162.03,5.23,31,3.36,0,0.373,0,3.676,0.207,1.062,0.504,0.026,47.2,41.6,1.9,35.6,13.8
