start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2015,5,4,9,2015,5,13,8,40.33,0.78,51.87,2.57,,1.597,0.712,5.116,0.66,1.727,0.759,0.082,74.3,1434.7,,135.5,31.3
2015,5,13,9,2015,5,22,8,34.4,0.82,41.91,2.97,,0.879,0.599,4.922,0.484,1.585,0.551,0.068,444.6,153.3,4.7,1002,734.3
2015,5,22,9,2015,5,31,8,52.37,0.81,64.65,3.86,,1.331,0.72,6.332,0.708,1.936,1.09,0.119,121.3,205.9,7.7,96.4,15.4
2015,5,31,9,2015,6,9,8,34.97,0.87,39.97,4.38,,1.096,0.82,3.079,0.421,0.868,1.221,0.07,64.7,195.1,3.1,191.8,94.9
2015,6,19,9,2015,6,28,8,47.9,1.6,29.97,1.41,,0.83,1.032,4.107,0.444,1.258,0.781,0.073,35.4,121.8,2,53.4,64.9
2015,7,7,9,2015,7,16,8,31.83,0.82,38.78,1.18,,1.638,,7.881,0.635,2.67,0.801,0.1,45,149.1,2.6,273.5,155.9
2015,7,16,9,2015,7,25,8,32.23,0.99,32.44,1.17,,1.74,0.891,5.708,0.534,1.892,0.785,0.079,20.8,176.8,3.1,170.7,63.5
2015,7,25,9,2015,8,3,8,35.53,1.38,25.7,1.14,,0.991,1.144,3.091,0.495,1.171,0.633,0.055,7.9,100.6,2.3,491.1,332.2
2015,8,3,9,2015,8,12,8,12.17,1.12,10.83,2.64,0.446,3.683,0.597,6.037,0.557,1.946,1.016,0.095,100.1,371,5.8,164,
2015,8,12,9,2015,8,21,8,52.07,1.79,29.04,1.21,,1.128,0.534,3.304,0.356,1.041,0.794,0.064,33.7,136.3,2.6,14.6,38.8
2015,12,8,9,2015,12,10,14,58.03,0.6,95.92,12.21,0.493,8.896,1.032,21.765,4.583,7.246,1.515,0.091,628,1672.5,55.5,2340.4,959.6
2016,1,21,9,2016,1,30,8,96.17,1.65,58.26,5.3,0.924,2.948,,9.02,0.341,2.328,0.932,0.023,,,,,
2016,1,30,9,2016,2,8,8,89.4,1.73,51.74,1.65,0.151,2.481,,9.234,0.302,3.129,0.867,0.049,,,,,
2016,2,8,9,2016,2,17,8,74.43,1.53,48.54,1.43,,2.233,,7.179,0.416,2.325,1.223,0.07,,,,,
2016,2,17,9,2016,2,26,8,92.57,1.43,64.94,2.18,0.24,6.364,1.741,13.592,0.531,6.201,2.166,0.127,,,,,
2016,2,26,9,2016,3,6,8,82.9,1.4,59.05,1.87,0.46,4.751,,12.058,0.48,4.704,1.359,0.112,,,,,
2016,3,6,9,2016,3,15,8,80.4,1.53,52.43,1.54,0.796,3.36,0.984,11.758,0.448,4.12,0.95,0.046,,,,,
2016,3,16,9,2016,3,24,8,87.33,1.71,51.18,1.61,0.417,4.222,,10.326,0.222,4.393,0.703,0.05,,,,,
