End_Date,PM_2.5,Ammoniated_Sulfate,Ammonium_Nitrate,Crustal_Material,  Residual_Material,Sea_Salt,Equivalent_Black_Carbon,Trace_Element_Oxides,Particle-Bound Water (RH=0.35),kappa_volume
 2014/02/28 08:00:00,40.6,6.81,1.68,2.13,22.09,0.32,5.08,0.04,2.43,0.17
 2014/03/19 08:00:00,52.5,12.52,0.64,0.59,28.11,0.32,6.81,0.05,3.42,0.18
 2014/03/28 08:00:00,44.2,8.3,0.68,0.53,28.84,0.24,2.77,0.08,2.73,0.17
 2014/04/06 08:00:00,42.4,8.84,0.29,0.49,27.45,0.22,2.35,0.04,2.69,0.18
 2014/04/15 08:00:00,31.2,4.52,0.28,0.46,18.2,0.25,5.81,0.03,1.67,0.14
 2014/04/24 08:00:00,33.6,4.72,0.6,0.45,22.92,0.33,2.49,0.03,2,0.15
 2014/05/03 08:00:00,45.7,7.8,1,0.79,30.03,0.51,2.5,0.01,2.97,0.17
 2014/05/15 08:00:00,40.1,9.44,0.48,1.27,23.45,0.21,2.49,0.05,2.64,0.19
 2014/06/20 08:00:00,37.7,10.51,0.48,1.53,19.57,0.27,2.5,0.07,2.71,0.21
 2014/06/29 08:00:00,38.8,9.23,0.57,1.53,22.01,0.27,2.52,0.05,2.61,0.19
 2014/07/08 08:00:00,33,5.54,0.48,1.22,17.42,0.4,5.96,0.02,1.95,0.16
 2014/07/20 08:00:00,36.1,5.87,0.83,1.72,23.87,0.25,1.37,0.03,2.18,0.16
 2014/07/21 08:00:00,36.1,7.2,0.6,0.91,23.54,0.16,1.35,0.04,2.27,0.17
 2014/07/22 08:00:00,33.6,5.54,0.37,1.46,22.73,0.2,1.32,0.03,1.98,0.16
 2014/08/15 08:00:00,35.6,6.63,0.26,0.49,20.34,0.38,5.23,0.01,2.19,0.16
 2014/08/29 08:00:00,35.9,8.83,0.19,1.23,17.35,0.36,5.51,0.02,2.39,0.19
 2014/09/14 08:00:00,45.9,10.21,0.29,1.36,22.91,0.58,7.46,0.03,3.03,0.18
 2014/10/20 08:00:00,37.8,9.43,0.43,0.87,17.06,0.64,6.55,0.05,2.74,0.19
 2015/04/22 08:00:00,35.5,9.07,0.45,2.12,19.09,0.21,2.12,0.03,2.4,0.2
 2015/05/30 08:00:00,44.4,8.07,0.31,2.63,28.04,0.3,2.29,0.04,2.66,0.16
 2015/06/17 08:00:00,37.8,6.41,0.33,2.49,17.85,0.41,8.07,0.06,2.1,0.15
 2015/07/05 08:00:00,37.9,6.83,0.48,1.61,20.7,0.34,5.53,0.12,2.24,0.16
 2015/07/14 08:00:00,38.7,5.59,0.3,2.57,21.05,0.33,6.71,0.05,2.03,0.14
 2015/08/25 08:00:00,49.4,6.35,1.38,4.49,25.74,0.82,7.6,0.06,2.88,0.15
 2015/10/02 08:00:00,42.5,6.29,0.43,2.93,27.88,0.45,1.9,0.02,2.52,0.15
 2015/10/20 08:00:00,44.8,6.96,2.64,3.27,26.86,0.6,1.35,0.02,3,0.18
 2015/11/07 08:00:00,42.8,8.88,3.2,2.3,23.16,0.51,1.52,0.02,3.14,0.2
 2015/11/16 08:00:00,37.9,7.01,3.51,2.24,20.85,-0.01,1.87,0.04,2.36,0.19
 2015/11/25 08:00:00,43,6.63,10.33,1.91,18.08,0.7,1.62,0.03,3.67,0.24
 2016/01/11 08:00:00,33.6,10.83,0.41,2.94,16.54,0.23,,0.03,2.59,0.23
 2016/01/20 08:00:00,37.3,10,0.54,1.31,22.52,0.19,,0.04,2.68,0.2
 2016/06/10 08:00:00,33.2,6.85,0.72,1.62,14.86,0.35,6.75,0.03,2.04,0.17
 2016/08/13 08:00:00,36.5,7.57,0.42,0.26,19.92,0.25,5.76,,2.24,0.17
 2016/09/09 08:00:00,38.5,9.38,0.91,0.22,22.78,0.3,2.09,,2.74,0.2
