End_Date,PM_2.5,Ammoniated_Sulfate,Ammonium_Nitrate,Crustal_Material,  Residual_Material,Sea_Salt,Equivalent_Black_Carbon,Trace_Element_Oxides,Particle-Bound Water (RH=0.35),kappa_volume
 2014/01/19 08:00:00,11.7,1.83,0.29,1.57,6.49,0.13,0.72,0,0.69,0.16
 2014/02/07 08:00:00,26.6,7.87,1,1.57,12.21,0.34,1.35,0.06,2.13,0.23
 2014/04/15 08:00:00,31.2,4.52,0.28,0.46,18.2,0.25,5.81,0.03,1.67,0.14
 2014/05/24 08:00:00,30.9,6.72,0.35,1.15,17.72,0.24,2.66,0.04,2,0.18
 2014/05/30 08:00:00,29.8,4.37,0.18,1.31,20.2,0.22,1.72,0.03,1.69,0.15
 2014/07/19 08:00:00,27.5,4.34,0.42,1.74,17.55,0.22,1.52,0.03,1.61,0.16
 2014/07/23 08:00:00,24.8,5.34,0.23,7.35,6.03,0.14,4.48,0.03,1.22,0.16
 2014/07/24 08:00:00,23.5,2.98,0.46,3.19,14.18,0.14,1.27,0.02,1.21,0.14
 2014/07/25 08:00:00,32.1,6.02,0.63,1.17,21.03,0.15,1.1,0.01,1.98,0.17
 2014/08/07 08:00:00,27.4,2.34,0.47,0.57,20.06,0.4,1.94,0.02,1.56,0.14
 2014/08/08 08:00:00,27.8,4.79,0.32,3,12.74,0.38,4.91,0.03,1.62,0.16
 2014/08/09 08:00:00,31.7,6.03,0.38,2.39,15.28,0.38,5.28,0.03,1.91,0.16
 2014/08/10 08:00:00,27.7,4.72,0.25,2.15,13.31,0.35,5.23,0.02,1.59,0.15
 2014/08/11 08:00:00,31,4.6,0.48,0.87,17.29,0.34,5.61,0.01,1.75,0.15
 2014/08/12 08:00:00,21.1,3,0.19,2.3,9.78,0.17,4.58,0.04,1.03,0.14
 2014/08/13 08:00:00,26.2,3.94,0.31,1.86,16.49,0.4,1.44,0.04,1.65,0.16
 2014/08/16 08:00:00,22.9,6.15,0.35,0.65,9.51,0.53,3.76,0.01,1.83,0.21
 2014/08/17 08:00:00,23.8,2.82,0.38,1.5,12.46,0.38,4.86,0.03,1.3,0.14
 2014/08/18 08:00:00,31.8,7.75,0.54,5.54,10.43,0.46,4.89,0.04,2.08,0.19
 2014/08/23 08:00:00,31.4,6.12,0.29,1.37,15.19,0.34,6.11,0.02,1.88,0.16
 2014/08/24 08:00:00,29.8,6.88,0.13,1.15,14.66,0.25,4.79,0.03,1.88,0.18
 2014/08/25 08:00:00,32.8,7.34,0.18,1.54,15.43,0.37,5.74,0.06,2.09,0.18
 2014/11/17 08:00:00,29.9,5.89,0.29,1.16,14.93,0.12,5.79,0.03,1.65,0.16
 2014/11/26 08:00:00,28.1,4.73,0.11,0.94,13.91,0.06,6.91,0.02,1.36,0.14
 2014/12/05 08:00:00,28.6,4.59,0.21,5.84,10.32,0.06,6.33,0.03,1.21,0.14
 2014/12/14 08:00:00,19.4,2.18,0.18,1.02,10.4,0.07,4.64,0.02,0.83,0.12
 2014/12/23 08:00:00,20.7,2.89,0.37,1.22,9.8,0.08,5.34,0.03,0.96,0.14
 2015/01/02 08:00:00,24.9,2.6,0.31,2.33,12.28,0.42,5.69,0.02,1.28,0.13
 2015/01/11 08:00:00,12.3,1.07,0.21,0.74,5.93,0.18,3.56,0.01,0.58,0.12
 2015/01/21 08:00:00,20,4.12,1.23,1.12,9.77,0.37,1.75,0.05,1.5,0.2
 2015/01/30 08:00:00,23.7,8.24,0.39,0.73,10.12,0.26,1.94,0.01,1.96,0.24
 2015/02/08 08:00:00,20.2,5.22,2.09,0.41,8.89,0.38,1.4,0.02,1.76,0.24
 2015/02/17 08:00:00,29,5.81,1.34,1.18,16.02,0.3,2.07,0.29,1.97,0.19
 2015/02/26 08:00:00,31.9,6.25,0.43,0.66,16.44,0.2,5.93,0.12,1.85,0.16
 2015/03/07 08:00:00,18.5,6.64,0.47,1.49,6.21,0.3,1.74,0.03,1.59,0.25
 2015/03/16 08:00:00,14.9,2.2,0.57,1.28,8.03,0.21,1.54,0.12,0.91,0.16
 2015/03/26 08:00:00,26.9,5.97,0.39,1.43,15.36,0.16,1.79,0.04,1.72,0.18
 2015/04/04 08:00:00,24.6,7.67,0.15,1.64,8.34,0.19,4.83,0.04,1.7,0.21
 2015/04/13 08:00:00,27.4,6.87,0.62,1.25,14.8,0.24,1.64,0.04,1.94,0.2
 2015/05/01 08:00:00,14.4,1.14,0.53,0.4,10,0.16,1.34,0,0.78,0.14
 2015/05/10 08:00:00,25.5,4.06,0.16,2.07,12.58,0.17,5.06,0.04,1.3,0.15
 2015/05/19 08:00:00,31.6,6.74,,1.26,16.23,0.25,5.09,0.06,1.91,0.17
 2015/06/08 08:00:00,30.9,8.03,0.12,1.68,12.94,0.3,5.74,0.03,2.03,0.19
 2015/07/23 08:00:00,31.2,4.65,0.58,1.92,15.66,0.42,6.16,0.02,1.77,0.15
 2015/08/06 08:00:00,30.2,5.7,0.6,1.86,17.84,0.38,1.72,0.03,1.99,0.17
 2015/09/04 08:00:00,31.3,5.62,0.26,1.99,16.02,0.41,4.99,0.02,1.9,0.16
 2015/09/13 08:00:00,30.3,5.28,0.52,2.32,17.85,0.49,1.79,0.04,2.01,0.17
 2015/10/29 08:00:00,32.3,5.21,0.55,2.58,17.83,0.48,3.51,0.09,2,0.16
 2016/01/29 08:00:00,26.7,6.65,0.55,1.8,15.36,0.3,,0.04,1.97,0.2
 2016/02/07 08:00:00,19.4,4.56,0.61,1.41,11.13,0.21,,0.03,1.41,0.2
 2016/02/16 08:00:00,21.7,2.93,0.9,1.5,14.54,0.32,,0.03,1.42,0.16
 2016/02/25 08:00:00,25.6,7.57,0.44,1.44,14.05,0.15,,0.04,1.92,0.22
 2016/03/20 08:00:00,31.5,6.46,2.06,0.71,13.29,0.56,6.1,0.02,2.27,0.19
 2016/03/29 08:00:00,27.1,7.16,0.7,0.46,11.49,0.41,4.83,0.02,2.01,0.2
 2016/04/07 08:00:00,29.9,4.9,1.12,0.48,18.81,0.36,2.15,0.01,1.96,0.17
 2016/04/16 08:00:00,26.4,6.57,0.86,0.54,10.61,0.43,5.43,0.03,1.92,0.2
 2016/04/25 08:00:00,25.9,6.28,0.78,0.5,11.13,0.26,5.21,0.01,1.74,0.19
 2016/05/04 08:00:00,28.9,6.16,0.7,0.57,17.22,0.26,2,0.02,1.95,0.18
 2016/05/13 08:00:00,30.4,4.88,1.31,0.63,16.26,0.21,5.36,0.03,1.75,0.16
 2016/05/23 08:00:00,32,6.49,0.53,1.38,14.56,0.28,6.81,0.03,1.89,0.17
 2016/06/01 08:00:00,28.9,6.68,0.79,1.31,11.81,0.39,5.88,0.02,1.94,0.19
 2016/06/19 08:00:00,28.3,4.98,0.46,1.38,13.21,0.24,6.4,0.03,1.56,0.16
 2016/06/28 08:00:00,26.6,5.24,0.6,1.58,10.72,0.34,6.41,0.03,1.61,0.17
 2016/07/07 08:00:00,25.1,5.45,1.14,1.42,9.81,0.32,5.28,0.03,1.66,0.19
 2016/07/16 08:00:00,32.1,5.86,1.24,1.2,15.57,0.35,5.79,0.03,1.98,0.17
 2016/07/26 08:00:00,28.3,5.73,0.34,0.19,14.26,0.29,5.69,,1.75,0.17
 2016/08/04 08:00:00,19.1,3.67,0.32,0.25,8.92,0.38,4.19,,1.29,0.17
 2016/08/22 08:00:00,20.7,3.71,0.33,0.22,9.77,0.37,4.96,,1.32,0.16
 2016/08/31 08:00:00,29,6.93,0.76,0.37,12.23,0.53,6.03,,2.11,0.19
 2016/09/18 08:00:00,26.4,6.97,0.84,0.2,10.93,0.39,5.03,,1.95,0.2
 2016/10/06 08:00:00,16.4,3.06,0.18,0.34,6.32,0.32,5.18,,1.02,0.16
 2016/10/15 08:00:00,31.7,4.95,0.26,0.27,16.89,0.33,7.25,,1.75,0.15
 2016/10/24 08:00:00,28.5,6.47,0.25,1.84,12.09,0.44,5.48,,1.89,0.18
 2016/11/02 08:00:00,22.6,5.94,0.32,0.36,8.47,0.37,5.53,,1.61,0.2
 2016/11/11 08:00:00,27.4,5.25,0.2,0.69,13.42,0.29,5.9,,1.62,0.16
 2016/11/20 08:00:00,23.9,5.42,0.27,0.21,10.16,0.29,6.03,,1.52,0.18
 2016/11/29 08:00:00,22.2,4.57,0.28,0.22,9.82,0.31,5.63,,1.4,0.17
 2016/12/09 08:00:00,28.7,5.76,0.38,0.27,17.69,0.42,2.09,,2,0.18
 2016/12/10 08:00:00,18,2.23,0.25,0.42,11.57,0.44,1.8,,1.21,0.15
 2016/12/11 08:00:00,8.5,1.08,0.25,0.24,5.01,0.25,1.04,,0.61,0.16
 2016/12/12 08:00:00,9.8,1.2,0.23,0.21,6.05,0.23,1.19,,0.66,0.15
 2016/12/18 08:00:00,10.6,2.61,0.21,0.51,5,0.25,1.17,,0.84,0.2
 2016/12/19 08:00:00,6,0.88,0.26,0.29,2.73,0.32,0.9,,0.55,0.19
 2016/12/20 08:00:00,5.6,0.9,0.16,0.2,3.6,0.24,,,0.51,0.19
 2016/12/21 08:00:00,4.5,1.04,0.29,0.34,1.84,0.37,,,0.59,0.26
 2016/12/22 08:00:00,6.8,1.52,0.25,0.89,3.02,0.37,,,0.7,0.23
 2016/12/23 08:00:00,6,0.66,0.17,0.16,3.45,0.21,0.9,,0.44,0.15
