End_Date,PM_2.5,Ammoniated_Sulfate,Ammonium_Nitrate,Crustal_Material,  Residual_Material,Sea_Salt,Equivalent_Black_Carbon,Trace_Element_Oxides,Particle-Bound Water (RH=0.35),kappa_volume
 2014/03/29 08:00:00,24.6,2.12,0.2,2.58,6.3,0.73,11.27,0.05,1.22,0.11
 2014/05/11 08:00:00,20.1,2.05,0.2,1.66,11.7,0.48,2.67,0.03,1.22,0.14
 2014/05/17 08:00:00,29.4,5.91,,1.67,16.54,0.26,3.17,0.07,1.8,0.17
 2014/05/19 08:00:00,21.2,2.68,,1.22,9.83,0.21,6.21,0.06,0.99,0.13
 2014/05/21 08:00:00,23.3,4.71,,1.08,13.66,0.16,2.19,0.04,1.41,0.17
 2014/05/22 08:00:00,23,3.72,,1.17,13.38,0.28,2.96,0.06,1.35,0.15
 2014/05/23 08:00:00,22.7,3.16,,1.24,9.45,0.21,7.51,0.05,1.05,0.13
 2014/05/26 08:00:00,20.1,1.44,,0.82,13.88,0.19,2.79,0.05,0.94,0.12
 2014/05/27 08:00:00,24.6,4,0.15,1.62,13.65,0.36,3.21,0.13,1.49,0.16
 2014/06/06 08:00:00,25.7,7.53,0.18,1.57,11.65,0.26,2.54,0.05,1.88,0.21
 2014/08/18 08:00:00,22.5,5.04,0.23,1.1,5.66,0.51,8.4,0.02,1.47,0.17
 2014/11/13 08:00:00,22.1,2.78,0.23,1.39,8.59,0.38,7.57,0.06,1.13,0.13
 2014/12/01 08:00:00,20.2,1.82,0.29,1.36,7.31,0.46,7.87,0.06,1,0.12
 2015/07/19 08:00:00,23.4,2.79,0.83,2.29,12.12,0.73,2.91,0.04,1.65,0.16
 2015/08/18 08:00:00,22.8,4.96,0.24,1.6,5.07,0.34,9.18,0.04,1.29,0.16
 2015/09/05 08:00:00,51.1,8.03,0.64,5.51,12.5,0.75,20.89,0.24,2.46,0.13
 2015/10/13 08:00:00,21.5,2.81,1.11,2,8.02,1.82,3.07,0.06,2.44,0.2
 2015/10/31 08:00:00,25.5,4.43,0.37,2.95,10.37,1.71,2.69,0.21,2.6,0.2
