End_Date,PM_2.5,Ammoniated_Sulfate,Ammonium_Nitrate,Crustal_Material,  Residual_Material,Sea_Salt,Equivalent_Black_Carbon,Trace_Element_Oxides,Particle-Bound Water (RH=0.35),kappa_volume
 2015/05/13 08:00:00,51.9,6.3,2.06,69.77,,0.95,4.29,0.03,,0.08
 2015/05/22 08:00:00,41.9,6.19,1.13,2.83,22.52,0.78,4.96,0.73,2.67,0.16
 2015/05/31 08:00:00,64.7,7.8,1.72,4.16,39.27,1.15,6.45,0.02,3.97,0.15
 2015/06/09 08:00:00,40,3.58,1.41,3.35,21.31,0.68,7.31,0.09,2.16,0.13
 2015/06/28 08:00:00,30,5.07,1.07,2.46,15.98,0.72,2.35,0.06,2.17,0.18
 2015/07/16 08:00:00,38.8,10,2.11,3.15,16.88,1.03,1.97,0.16,3.37,0.23
 2015/07/25 08:00:00,32.4,7.03,2.24,3.24,14.27,0.86,1.95,0.06,2.68,0.21
 2015/08/03 08:00:00,25.7,3.92,1.28,1.97,13.41,0.81,1.9,0.33,1.99,0.18
 2015/08/12 08:00:00,10.8,6.85,4.75,5.9,,1.1,4.41,,,0.3
 2015/08/21 08:00:00,29,3.98,1.46,2.54,16.43,0.57,2.02,0.04,1.95,0.17
 2015/12/10 14:00:00,95.9,25.88,11.48,22.74,-5.3,7.39,20.39,0.96,11.55,0.3
 2016/01/30 08:00:00,58.3,10.45,3.8,0.29,27.3,2.35,8.85,,5.16,0.2
 2016/02/08 08:00:00,51.7,11.61,3.2,0.61,29.21,0.5,2.76,,3.8,0.2
 2016/02/17 08:00:00,48.5,8.81,2.88,0.88,29.34,0.69,2.39,,3.49,0.19
 2016/02/26 08:00:00,64.9,17.88,8.21,1.59,27,0.88,3.64,,5.65,0.25
 2016/03/06 08:00:00,59,15.33,6.13,1.4,26.61,1.17,3.12,,5.21,0.24
 2016/03/15 08:00:00,52.4,14.85,4.33,0.57,22.54,2.02,2.57,,5.46,0.26
 2016/03/24 08:00:00,51.2,13.47,5.45,0.62,23.25,1.06,2.69,,4.6,0.24
