End_Date,PM_2.5,Ammoniated_Sulfate,Ammonium_Nitrate,Crustal_Material,  Residual_Material,Sea_Salt,Equivalent_Black_Carbon,Trace_Element_Oxides,Particle-Bound Water (RH=0.35),kappa_volume
 2015/08/29 08:00:00,33.2,9.36,0.49,1.71,17.55,0.52,0.89,,2.66,0.22
 2015/09/07 08:00:00,35.4,8.28,0.53,2.06,20.39,0.53,0.94,0.03,2.62,0.2
 2015/09/16 08:00:00,51,12.28,0.79,2.65,27.19,0.78,3.52,,3.75,0.2
 2015/09/25 08:00:00,69.2,14.82,1.9,2.88,42.77,0.79,1.07,0.05,4.91,0.19
 2015/10/14 08:00:00,74.2,13.79,0.43,1.12,47.97,0.5,5.78,0.03,4.53,0.17
 2015/10/23 08:00:00,62.7,11.5,0.56,1.09,43.51,0.51,1.35,0.07,4.03,0.17
 2015/11/01 08:00:00,59.4,9.07,0.31,0.4,44.3,0.41,1.22,0.03,3.56,0.16
 2015/11/10 08:00:00,24.9,8.58,0.69,1.31,10.76,0.24,1.22,0.05,2.05,0.24
 2016/04/05 08:00:00,21.7,5.28,0.49,1.61,7.07,0.54,5.06,0.01,1.62,0.2
 2016/04/14 08:00:00,25,1.31,0.08,1.2,17.25,0.31,3.66,,1.16,0.11
 2016/04/23 08:00:00,21.4,1.11,0.06,1.68,13.4,0.2,4.02,,0.89,0.11
 2016/05/02 08:00:00,24.7,0.97,0.08,1.32,17.4,0.22,3.67,,1.04,0.1
 2016/09/04 08:00:00,22.2,5.07,0.3,2.48,10.53,0.3,1.79,0.22,1.5,0.19
