date start,date end
"2014,2,22,9,","2014,3,2,8,"
"2014,3,20,9,","2014,3,29,8,"
"2014,3,29,9,","2014,4,7,8,"
"2014,4,16,9,","2014,4,25,8,"
"2014,4,30,9,","2014,5,1,8,"
"2014,5,1,9,","2014,5,2,8,"
"2014,5,2,9,","2014,5,3,8,"
"2014,5,3,9,","2014,5,4,8,"
"2014,5,10,9,","2014,5,11,8,"
"2014,5,11,9,","2014,5,12,8,"
"2014,5,12,9,","2014,5,13,8,"
"2014,5,13,9,","2014,5,14,8,"
"2014,5,14,9,","2014,5,15,8,"
"2014,5,15,9,","2014,5,16,8,"
"2014,5,16,9,","2014,5,17,8,"
"2014,5,17,9,","2014,5,18,8,"
"2014,5,18,9,","2014,5,19,8,"
"2014,5,19,9,","2014,5,20,8,"
"2014,5,20,9,","2014,5,21,8,"
"2014,5,21,9,","2014,5,22,8,"
"2014,5,22,9,","2014,5,23,8,"
"2014,5,23,9,","2014,5,24,8,"
"2014,5,24,9,","2014,5,25,8,"
"2014,5,25,9,","2014,5,26,8,"
"2014,5,26,9,","2014,5,27,8,"
"2014,5,28,9,","2014,6,6,8,"
"2014,6,6,9,","2014,6,15,8,"
"2014,6,15,9,","2014,6,24,8,"
"2014,6,24,9,","2014,7,3,8,"
"2014,7,3,9,","2014,7,12,8,"
"2014,7,12,9,","2014,7,21,8,"
"2014,7,21,9,","2014,7,30,8,"
"2014,7,31,9,","2014,8,9,8,"
"2014,8,9,9,","2014,8,18,8,"
"2014,8,18,9,","2014,8,27,8,"
"2014,11,4,9,","2014,11,13,8,"
"2014,11,13,9,","2014,11,22,8,"
"2014,11,22,9,","2014,12,1,8,"
"2014,12,1,9,","2014,12,10,8,"
"2015,2,12,9,","2015,2,21,8,"
"2015,2,21,9,","2015,3,2,8,"
"2015,3,29,9,","2015,4,7,8,"
"2015,4,7,9,","2015,4,15,8,"
"2015,4,21,9,","2015,4,30,8,"
"2015,4,30,9,","2015,5,9,8,"
"2015,5,9,9,","2015,5,18,8,"
"2015,5,18,9,","2015,5,27,8,"
"2015,5,27,9,","2015,6,5,8,"
"2015,6,5,9,","2015,6,8,8,"
"2015,6,14,9,","2015,6,23,8,"
"2015,7,4,9,","2015,7,13,8,"
"2015,7,13,9,","2015,7,19,8,"
"2015,8,10,9,","2015,8,18,8,"
"2015,8,18,9,","2015,8,27,8,"
"2015,8,27,9,","2015,9,5,8,"
"2015,9,5,9,","2015,9,14,8,"
"2015,9,25,9,","2015,10,4,8,"
"2015,10,4,9,","2015,10,13,8,"
"2015,10,13,9,","2015,10,22,8,"
"2015,10,22,9,","2015,10,31,8,"
"2015,10,31,9,","2015,11,7,4,"
"2016,1,13,9,","2016,1,22,8,"
"2016,1,22,9,","2016,1,31,8,"
