date start,date end
"2014,1,10,9,","2014,1,19,8,"
"2014,1,20,9,","2014,1,29,8,"
"2014,1,29,9,","2014,2,7,8,"
"2014,2,19,9,","2014,2,28,8,"
"2014,3,10,9,","2014,3,19,8,"
"2014,3,19,9,","2014,3,28,8,"
"2014,3,28,9,","2014,4,6,8,"
"2014,4,6,9,","2014,4,15,8,"
"2014,4,15,9,","2014,4,24,8,"
"2014,4,24,9,","2014,5,3,8,"
"2014,5,6,9,","2014,5,15,8,"
"2014,5,15,9,","2014,5,24,8,"
"2014,5,24,9,","2014,5,30,8,"
"2014,6,11,9,","2014,6,20,8,"
"2014,6,20,9,","2014,6,29,8,"
"2014,6,29,9,","2014,7,8,8,"
"2014,7,18,9,","2014,7,19,8,"
"2014,7,19,9,","2014,7,20,8,"
"2014,7,20,9,","2014,7,21,8,"
"2014,7,21,9,","2014,7,22,8,"
"2014,7,22,9,","2014,7,23,8,"
"2014,7,23,9,","2014,7,24,8,"
"2014,7,24,9,","2014,7,25,8,"
"2014,8,6,9,","2014,8,7,8,"
"2014,8,7,9,","2014,8,8,8,"
"2014,8,8,9,","2014,8,9,8,"
"2014,8,9,9,","2014,8,10,8,"
"2014,8,10,9,","2014,8,11,8,"
"2014,8,11,9,","2014,8,12,8,"
"2014,8,12,9,","2014,8,13,8,"
"2014,8,14,9,","2014,8,15,8,"
"2014,8,15,9,","2014,8,16,8,"
"2014,8,16,9,","2014,8,17,8,"
"2014,8,17,9,","2014,8,18,8,"
"2014,8,22,9,","2014,8,23,8,"
"2014,8,23,9,","2014,8,24,8,"
"2014,8,24,9,","2014,8,25,8,"
"2014,8,28,9,","2014,8,29,8,"
"2014,9,5,9,","2014,9,14,8,"
"2014,10,11,9,","2014,10,20,8"
"2014,11,8,9,","2014,11,17,8"
"2014,11,17,9,","2014,11,26,8"
"2014,11,26,9,","2014,12,5,8"
"2014,12,5,9,","2014,12,14,8"
"2014,12,14,9,","2014,12,23,8"
"2014,12,23,9,","2015,1,2,8,"
"2015,1,2,9,","2015,1,11,8,"
"2015,1,12,9,","2015,1,21,8,"
"2015,1,21,9,","2015,1,30,8,"
"2015,1,30,9,","2015,2,8,8,1"
"2015,2,8,9,","2015,2,17,8,"
"2015,2,17,9,","2015,2,26,8,"
"2015,2,26,9,","2015,3,7,8,"
"2015,3,7,9,","2015,3,16,8,"
"2015,3,17,9,","2015,3,26,8,"
"2015,3,26,9,","2015,4,4,8,"
"2015,4,4,9,","2015,4,13,8,"
"2015,4,13,9,","2015,4,22,8,"
"2015,4,22,9,","2015,5,1,8,"
"2015,5,1,9,","2015,5,10,8,"
"2015,5,10,9,","2015,5,19,8,"
"2015,5,21,9,","2015,5,30,8,"
"2015,5,30,9,","2015,6,8,8,"
"2015,6,8,9,","2015,6,17,8"
"2015,6,26,9,","2015,7,5,8,"
"2015,7,5,9,","2015,7,14,8,"
"2015,7,14,9,","2015,7,23,8,"
"2015,7,28,9,","2015,8,6,8,"
"2015,8,24,9,","2015,8,25,8,"
"2015,8,26,9,","2015,9,4,8,"
"2015,9,4,9,","2015,9,13,8,"
"2015,9,23,9,","2015,10,2,8,"
"2015,10,11,9,","2015,10,20,8,"
"2015,10,20,9,","2015,10,29,8,"
"2015,10,29,9,","2015,11,7,8,"
"2015,11,7,9,","2015,11,16,8,"
"2015,11,16,9,","2015,11,25,8,"
"2016,1,2,9,","2016,1,11,8,"
"2016,1,11,9,","2016,1,20,8,"
"2016,1,20,9,","2016,1,29,8,"
"2016,1,29,9,","2016,2,7,8,"
"2016,2,7,9,","016,2,16,8,"
"2016,2,16,9,","2016,2,25,8,"
"2016,3,11,9,","2016,3,20,8,"
"2016,3,20,9,","2016,3,29,8,"
"2016,3,29,9,","2016,4,7,8,"
"2016,4,7,9,","016,4,16,8,"
"2016,4,16,9,","2016,4,25,8,"
"2016,4,25,9,","2016,5,4,8,"
"2016,5,4,9,","2016,5,13,8,"
"2016,5,14,9,","2016,5,23,8,"
"2016,5,23,9,","2016,6,1,8,"
"2016,6,1,9,","2016,6,10,8,"
"2016,6,10,9,","2016,6,19,8,"
"2016,6,19,9,","2016,6,28,8,"
"2016,6,28,9,","2016,7,7,8,"
"2016,7,7,9,","2016,7,16,8,"
"2016,7,17,9,","2016,7,26,8,"
"2016,7,26,9,","2016,8,4,8,"
"2016,8,4,9,","2016,8,13,8,"
"2016,8,13,9,","2016,8,22,8,"
"2016,8,22,9,","2016,8,31,8,"
"2016,8,31,9,","2016,9,9,8,"
"2016,9,9,9,","2016,9,18,8,"
"2016,9,28,9,","2016,10,6,8,"
"2016,10,7,9,","2016,10,15,8,"
"2016,10,16,9,","2016,10,24,8,"
"2016,10,25,9,","2016,11,2,8,"
"2016,11,3,9,","2016,11,11,8,"
"2016,11,12,9,","2016,11,20,8,"
"2016,11,21,9,","2016,11,29,8,"
"2016,12,8,9,","2016,12,9,8,"
"2016,12,9,9,","2016,12,10,8,"
"2016,12,10,9,","2016,12,11,8,"
"2016,12,11,9,","2016,12,12,8,"
"2016,12,17,9,","2016,12,18,8,"
"2016,12,18,9,","2016,12,19,8,"
"2016,12,19,9,","2016,12,20,8,"
"2016,12,20,9,","2016,12,21,8,"
"2016,12,21,9,","2016,12,22,8,"
"2016,12,22,9,","2016,12,23,8,"
