start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2014,3,20,9,2014,3,29,8,85.5,3.48,24.55,6.75,0.019,0.152,0.186,1.892,0.45,0.323,0.637,0.066,63.3,135.5,4.8,106.3,51.5
2014,5,10,9,2014,5,11,8,83.87,4.18,20.06,1.6,0.012,0.156,0.08,0.965,0.296,1.164,0.649,0.055,23.3,75.8,1.7,68.7,25.6
2014,5,16,9,2014,5,17,8,110.23,3.74,29.44,1.9,,,0.344,4.662,0.164,1.264,0.341,0.012,14.1,120.1,1.4,129.2,68.1
2014,5,18,9,2014,5,19,8,94.27,4.44,21.22,3.72,,,0.232,2.151,0.134,0.543,0.273,0.009,28.5,87.6,0.8,155.6,61.1
2014,5,20,9,2014,5,21,8,108.9,4.68,23.27,1.31,,,0.082,3.757,0.103,0.962,0.227,0.005,21.3,79.6,1.7,85.9,41.4
2014,5,21,9,2014,5,22,8,108.3,4.72,22.96,1.77,,,0.72,3.004,0.177,0.736,0.335,0.012,23.9,80,1.9,117.6,60.8
2014,5,22,9,2014,5,23,8,105.93,4.67,22.7,4.5,,,0.161,2.639,0.135,0.536,0.342,0.013,59.6,84.3,1.7,91.6,46.7
2014,5,25,9,2014,5,26,8,107.77,5.35,20.13,1.67,,,0.104,1.253,0.119,0.2,0.241,0.007,15.8,57.8,1.1,87.6,48.9
2014,5,26,9,2014,5,27,8,123.37,5,24.65,1.92,0.029,0.118,0.408,3.298,0.225,0.762,0.302,0.02,26.4,107.6,2.2,212,126.3
2014,5,28,9,2014,6,6,8,127.63,4.97,25.68,1.52,,0.143,0.104,5.916,0.163,1.672,0.425,0.018,82.6,105.5,1.9,133.8,50.2
2014,8,9,9,2014,8,18,8,93.67,4.17,22.48,5.03,,0.175,0.872,3.885,0.312,1.242,0.358,0.038,13.2,48.2,1.5,79.6,20.2
2014,11,4,9,2014,11,13,8,78.43,3.54,22.15,4.53,,0.178,,2.18,0.236,0.675,0.32,0.027,29.6,81.9,2.1,97.1,56.1
2014,11,22,9,2014,12,1,8,70.3,3.48,20.21,4.71,,0.225,1.265,1.475,0.285,0.441,0.316,0.029,32.1,77.3,2.2,107.7,58.1
2015,7,13,9,2015,7,19,8,71.43,3.05,23.44,1.74,0.1,0.642,,2.397,0.453,0.635,0.351,0.051,65.7,129.6,2.6,115.9,40.4
2015,8,10,9,2015,8,18,8,94.17,4.14,22.77,5.5,,0.188,,3.9,0.216,1.136,0.362,,38,125.5,2.5,126.1,42.6
2015,8,27,9,2015,9,5,8,98.8,1.93,51.1,12.51,,0.493,,6.653,0.479,1.578,0.824,,125.2,433.6,7.1,437.6,244.2
2015,10,4,9,2015,10,13,8,75.03,3.48,21.54,1.84,0.037,0.862,,2.846,1.112,0.351,0.181,,70.5,156,3.8,177.9,59.8
2015,10,22,9,2015,10,31,8,95.77,3.75,25.52,1.61,,0.285,,4.068,1.05,0.57,0.201,,144.1,229.6,6.7,335.3,214
