start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2015,8,20,9,2015,8,29,8,334.87,10.08,33.22,0.53,0.041,0.376,,7.379,0.32,2.132,0.711,0.041,16.4,94.1,1.4,29.1,
2015,8,29,9,2015,9,7,8,356.53,10.06,35.44,0.56,0.041,0.412,,6.47,0.33,1.967,0.622,0.049,19.3,114.8,1.3,480,26.7
2015,9,7,9,2015,9,16,8,368.53,7.22,51.05,2.11,0.024,0.616,,9.14,0.479,3.374,0.659,0.075,42.1,134.5,2.4,74.1,
2015,9,16,9,2015,9,25,8,691.77,9.99,69.22,0.64,0.319,1.47,,10.559,0.202,4.708,0.803,0.018,15.3,209.6,3,128.9,49.6
2015,10,5,9,2015,10,14,8,709.63,9.56,74.2,3.46,,0.336,,13.92,0.307,,0.715,,34.7,88.2,1.7,112.3,26.4
2015,10,14,9,2015,10,23,8,599.47,9.56,62.68,0.81,,0.437,,11.666,0.316,,0.757,0.019,14,66.9,1.1,159.1,66.2
2015,10,23,9,2015,11,1,8,567.63,9.56,59.35,0.73,0.063,0.243,,9.171,0.249,,0.77,,6.5,31.4,0.8,82.8,26.1
2015,11,1,9,2015,11,10,8,238.43,9.56,24.93,0.73,,0.535,,8.753,0.151,,0.667,0.029,37.2,74.5,1.3,122.7,52.4
2016,3,27,9,2016,4,5,8,167.8,7.72,21.74,3.03,0.025,0.378,0.273,4.118,0.33,1.313,0.534,0.063,73,64.2,1.4,62.9,10.3
2016,4,5,9,2016,4,14,8,187.83,7.51,25.01,2.19,0.002,0.062,,1.353,0.193,,0.412,0.008,29.6,86.5,1.5,67.8,
2016,4,14,9,2016,4,23,8,161.8,7.57,21.38,2.41,,0.049,,1.138,0.13,,0.272,0.008,18.8,125.2,0.9,187.6,
2016,4,23,9,2016,5,2,8,185.73,7.51,24.73,2.2,,0.061,,1.003,0.139,,0.278,0.01,15.8,94.6,1.1,73.2,
2016,8,27,9,2016,9,4,8,167.83,7.55,22.22,1.07,0.06,0.232,0.035,5.163,0.194,,0.337,0.029,36,165.9,3.3,430.9,215.2
