start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2015,7,24,9,2015,8,2,8,178.9,10.17,17.59,0.51,0.045,0.346,,3.804,0.286,0.399,0.27,0.037,18.7,77.5,1.1,10.5,
2015,8,2,9,2015,8,11,8,184.4,9.68,19.05,0.66,0.033,0.317,,5.72,0.172,0.757,0.241,0.022,46.9,15.3,0.6,,
2015,8,11,9,2015,8,20,8,158.47,9.74,16.27,0.46,0.072,0.398,,4.347,0.421,0.719,0.269,0.052,,65.5,0.8,,
2015,11,10,9,2015,11,19,8,198.5,9.56,20.76,0.7,,0.373,,8.881,0.136,,0.675,0.021,20.8,49.4,1.1,82.8,23.8
2015,11,19,9,2015,11,28,8,158.57,9.56,16.58,0.72,,0.24,,4.784,0.152,,0.462,,15.9,59.9,0.9,87.8,36
2015,11,28,9,2015,12,7,8,133.07,9.56,13.91,0.58,0.048,0.348,,2.839,0.176,0.661,0.458,0.03,32.8,76.5,1.4,88,31
2016,2,2,9,2016,2,11,8,98.73,7.7,12.82,0.86,0.023,0.261,0.307,3.669,0.544,0.689,0.305,0.067,24.9,59.3,1.2,101.4,19.5
2016,2,11,9,2016,2,20,8,86.67,7.78,11.14,2.59,,0.28,0.454,2.904,0.321,0.654,0.294,0.046,25,44.7,0.8,40.4,13.2
2016,2,20,9,2016,2,29,8,79.57,7.68,10.36,3.67,0.116,0.406,0.275,3.041,0.531,0.527,0.285,0.062,19.1,60.6,1,37.9,11.1
2016,2,29,9,2016,3,9,8,102.27,7.64,13.38,3.36,0.008,0.37,0.311,4.405,0.555,0.984,0.461,0.086,25.8,60,1.3,46.6,17.3
2016,3,9,9,2016,3,18,8,125.17,7.75,16.16,3.22,0.221,0.43,0.17,6.142,0.191,1.027,1.234,0.071,109.5,51.3,1,102.4,9.9
2016,3,18,9,2016,3,27,8,160.53,7.66,20.95,2.09,0.027,0.256,0.244,7.045,0.267,2.294,0.806,0.085,32.7,64.9,1.3,107.5,23.3
2016,5,2,9,2016,5,11,8,141.53,7.59,18.65,1.58,,0.075,,0.822,0.155,,0.451,0.011,26.3,106.8,1.7,84.6,
2016,5,11,9,2016,5,20,8,116.7,7.4,15.77,2.76,0.014,0.067,0.045,0.748,0.213,,0.2,0.008,22.8,92.5,1.2,425.4,
2016,5,20,9,2016,5,29,8,112.7,7.41,15.21,3.57,,0.063,,0.662,0.167,0.983,0.203,0.009,17.6,119.9,2.3,332.5,
2016,5,29,9,2016,6,7,8,127.2,7.36,17.27,,,0.072,0.027,0.855,0.18,,0.18,0.01,7.9,58.9,1,,
2016,6,7,9,2016,6,16,8,110.07,7.64,14.41,2.1,,0.147,,2.022,0.191,0.942,0.235,0.016,48.8,94.7,1.9,93.5,
2016,6,16,9,2016,6,25,8,120.27,7.76,15.51,2.43,,0.029,0.053,1.909,0.173,0.805,0.338,0.011,57.8,105.7,2.7,96.6,
2016,6,25,9,2016,7,3,8,115,7.55,15.24,3.47,0.011,0.066,0.073,2.026,0.206,0.877,0.296,0.024,99.2,119.7,3.4,734.9,344.8
2016,7,3,9,2016,7,12,8,95.47,7.25,13.17,,0.01,0.047,,1.82,0.18,0.785,0.141,0.021,53.4,59.3,1.6,363.3,168.2
2016,7,12,9,2016,7,21,8,116.57,7.48,15.57,,,0.053,0.051,1.864,0.211,0.695,0.331,0.015,63.6,192.1,5.4,347.4,
2016,7,21,9,2016,7,30,8,128.7,7.3,17.63,,0.003,0.058,0.057,2.089,0.209,0.944,0.241,0.016,58,157.8,4.7,353.2,
2016,8,9,9,2016,8,18,8,120.47,7.48,16.11,2.36,,0.158,0.134,4.333,0.213,,0.34,0.014,71.5,90.3,1.8,344.4,166.2
2016,8,18,9,2016,8,27,8,139.8,7.45,18.78,2.6,0.024,0.23,0.233,3.323,0.281,0.938,0.424,0.017,40.6,55.3,1.5,169.4,29.3
2016,10,17,9,2016,10,26,8,153.1,7.46,20.51,1.45,0.063,0.199,0.179,5.046,0.255,1.01,1.293,0.046,62.9,233.4,4.7,651.3,417.6
2016,10,26,9,2016,11,4,8,132.17,7.45,17.74,1.54,,0.068,,5.688,0.154,,0.37,0.021,58.7,150.5,3.5,310.9,127.6
2016,11,4,9,2016,11,13,8,131.3,7.52,17.47,1.67,,0.247,0.612,5.334,0.175,,0.493,0.036,57.3,148.6,2.7,280.5,113.3
2016,11,13,9,2016,11,22,8,133.67,7.5,17.82,2.61,0.017,0.161,0.333,5.95,0.168,,0.436,0.016,151.4,124.1,2.3,218.1,68.9
2016,11,22,9,2016,12,1,8,92.73,7.59,12.21,0.44,0.098,0.157,0.171,2.501,0.192,0.61,0.298,0.03,59.8,130.5,2.1,149.6,51.2
2016,12,1,9,2016,12,10,8,104.6,7.54,13.87,1.91,0.037,0.125,,3.701,0.171,1.007,0.315,0.021,44.5,150.4,3.1,216.1,63.6
2016,12,10,9,2016,12,19,8,85.17,7.61,11.2,1.22,,0.428,1.182,3.724,0.18,1.023,0.572,0.024,83,121.3,3,102.1,44.6
2016,12,20,9,2016,12,28,8,50.53,8.14,6.21,1.33,0.004,0.022,,0.166,0.077,0.311,0.12,0.014,,,,,
2016,12,29,9,2017,1,6,8,55.83,7.95,7.02,1.44,0.009,0.029,,0.191,0.216,0.28,0.151,0.03,,,,,
2017,1,7,9,2017,1,15,8,106.33,8.02,13.26,1.56,0.008,0.045,0.084,0.755,0.278,1.221,0.679,0.025,,,,,
2017,1,16,9,2017,1,24,8,126.1,8.04,15.68,2.43,,0.028,,0.693,0.141,,0.383,0.021,,,,,
2017,1,25,9,2017,2,2,8,103,7.88,13.06,0.42,0.026,0.028,,0.219,0.271,0.351,0.13,0.04,,,,,
2017,2,3,9,2017,2,11,8,110.73,7.95,13.93,1.81,0.006,0.023,0.025,0.498,0.242,0.789,0.493,0.026,,,,,
2017,2,12,9,2017,2,20,8,79.4,7.91,10.03,1.17,0.018,0.041,0.092,0.487,0.589,0.59,0.311,0.054,,,,,
